classification,freq_social_oncampus,housing_type,carOwner,freq_social_offcampus,info_methods,apps_used,cal_type,challenges_oncampus,challenges_offcampus,trans_diffic
Senior (Fourth Year),Weekly,On-campus,No,Monthly,"Friends, Social media, School emails, Flyers",Instagram,A combination of calendars (physical and digital),"Time conflicts, Event timing/availability","Time conflicts, Event timing/availability, Finding transportation",4
Senior (Fourth Year),Rarely,On-campus,No,Never,School emails,Outlook ,Physical calendar or Planner,"Lack of information, Time conflicts",Finding transportation,5
First Year (First Year),Daily,On-campus,No,Monthly,"Friends, Social media, School emails, Flyers","Instagram, Facebook, Whatsapp",I did not use a calendar,"Lack of information, Time conflicts","Event timing/availability, Finding transportation",4
Senior (Fourth Year),Weekly,On-campus,No,Rarely,"Friends, Social media, School emails",Instagram,Digital calendar (Google /Apple/Outlook Calendar),"Time conflicts, Event timing/availability","Lack of information, Finding transportation",4
Senior (Fourth Year),Monthly,On-campus,No,Never,"Friends, Social media, School emails, Flyers","Instagram, Facebook, Whatsapp, iMessage",A combination of calendars (physical and digital),"Time conflicts, Event timing/availability",Finding transportation,5
Senior (Fourth Year),Rarely,On-campus,No,Never,"Social media, School emails","Instagram, Emails",Digital calendar (Google /Apple/Outlook Calendar),"Lack of information, Time conflicts, Event timing/availability",Finding transportation,5
Super senior (4+),Rarely,On-campus,No,Weekly,"Friends, Social media",Instagram,I did not use a calendar,Time conflicts,Event timing/availability,1
Super senior (4+),Daily,On-campus,Yes,Daily,"Friends, Social media, School emails, Flyers","Instagram, Facebook, Snapchat, Whatsapp",Digital calendar (Google /Apple/Outlook Calendar),"Time conflicts, Event timing/availability",Lack of information,2
Junior (Third Year),Weekly,On-campus,No,Rarely,"Friends, School emails",Discord,I did not use a calendar,"Lack of information, Time conflicts, Event timing/availability",N/a,5
Junior (Third Year),Daily,On-campus,No,Rarely,Friends,none,I did not use a calendar,Event timing/availability,Lack of information,1
Senior (Fourth Year),Rarely,On-campus,No,Rarely,"Friends, Social media, School emails, Flyers","Instagram, Facebook",I did not use a calendar,"Time conflicts, Event timing/availability","Time conflicts, Event timing/availability, Finding transportation",4
Sophomore (Second Year),Rarely,On-campus,No,Never,"Friends, School emails",Whatsapp,Digital calendar (Google /Apple/Outlook Calendar),"Time conflicts, Event timing/availability",Finding transportation,5
Super senior (4+),Rarely,On-campus,Yes,Rarely,"Social media, School emails, Flyers","Instagram, Snapchat",Physical calendar or Planner,"Time conflicts, Event timing/availability","Time conflicts, Event timing/availability",1
