classification,housing_type,carOwner,freq_social_oncampus,freq_social_offcampus,info_methods,apps_used,cal_type,challenges_oncampus,challenges_offcampus,trans_diffic
Freshman (First Year),On-campus,No,Daily,Monthly,"Friends, Social media, School emails, Flyers","Instagram, Facebook, Whatsapp",I did not use a calendar,"Lack of information, Time conflicts","Event timing/availability, Finding transportation",4
Freshman (First Year),On-campus,No,Daily,Weekly,"Friends, School emails",Whatsapp,I did not use a calendar,Event timing/availability,Event timing/availability,2
Freshman (First Year),On-campus,No,Weekly,Rarely,"Friends, School emails",Instagram,I did not use a calendar,Time conflicts,Finding transportation,4
Freshman (First Year),On-campus,No,Weekly,Daily,"Friends, School emails, Flyers","Instagram, Whatsapp",Digital calendar (Google /Apple/Outlook Calendar),"Lack of information, Event timing/availability","Event timing/availability, Finding transportation",4
Freshman (First Year),On-campus,No,Weekly,Monthly,"Friends, Engage","Instagram, Whatsapp",Digital calendar (Google /Apple/Outlook Calendar),"Time conflicts, Finding transportation",Finding transportation,5
Freshman (First Year),On-campus,No,Weekly,Monthly,"Friends, School emails","Instagram, Whatsapp, Outlook",Digital calendar (Google /Apple/Outlook Calendar),"Lack of information, Finding transportation",Finding transportation,5
Freshman (First Year),On-campus,Yes,Weekly,Rarely,"Friends, School emails",Instagram,Physical calendar or Planner,"Lack of information, Event timing/availability","Time conflicts, Event timing/availability",2
Freshman (First Year),On-campus,No,Weekly,Rarely,"Friends, School emails",Outlook,I did not use a calendar,"Time conflicts, Event timing/availability",Lack of interest ,3
Freshman (First Year),On-campus,No,Daily,Weekly,"Friends, Social media, Flyers","Instagram, Snapchat",I did not use a calendar,"Lack of information, Time conflicts, Event timing/availability","Lack of information, Time conflicts, Event timing/availability, Finding transportation",3
Freshman (First Year),On-campus,No,Rarely,Monthly,"School emails, Flyers",Instagram,Digital calendar (Google /Apple/Outlook Calendar),No desire to go,"Time conflicts, Event timing/availability",2
Freshman (First Year),On-campus,Yes,Weekly,Weekly,"Friends, Social media, School emails","Instagram, Snapchat",I did not use a calendar,Time conflicts,Lack of information,1
Freshman (First Year),On-campus,Yes,Monthly,Rarely,"Friends, School emails",none,I did not use a calendar,Time conflicts,Lack of information,1
Freshman (First Year),On-campus,No,Daily,Weekly,"Friends, Social media, School emails","Instagram, Snapchat",I did not use a calendar,Time conflicts,"Lack of information, Time conflicts, Event timing/availability, Finding transportation",3
Junior (Third Year),On-campus,No,Weekly,Rarely,"Friends, School emails",Discord,I did not use a calendar,"Lack of information, Time conflicts, Event timing/availability",N/a,5
Junior (Third Year),On-campus,No,Daily,Rarely,Friends,none,I did not use a calendar,Event timing/availability,Lack of information,1
Junior (Third Year),On-campus,No,Weekly,Never,"Friends, School emails",Instagram,Digital calendar (Google /Apple/Outlook Calendar),"Time conflicts, Event timing/availability",Event timing/availability,4
Junior (Third Year),On-campus,No,Rarely,Monthly,"Friends, School emails","Instagram, Whatsapp",Digital calendar (Google /Apple/Outlook Calendar),"Lack of information, Time conflicts","Lack of information, Time conflicts",2
Junior (Third Year),On-campus,Yes,Monthly,Monthly,"Friends, School emails",Whatsapp,Digital calendar (Google /Apple/Outlook Calendar),Event timing/availability,Event timing/availability,3
Junior (Third Year),Off-campus,Yes,Rarely,Weekly,Friends,Whatsapp,I did not use a calendar,Time conflicts,Time conflicts,1
